type,city,code,scode,name,lon,lat,area
neighborhood,CaSanSAN,SanISS,44,Mission Hills,-117.1821145,32.75112501,30766792.96
neighborhood,CaSanSAN,SanSSI,116,Mission Valley East,-117.1403479,32.77449403,72168947.42
neighborhood,CaSanSAN,SanMST,114,Mission Valley West,-117.1784119,32.76280378,34358988.68
neighborhood,CaSanSAN,SanMOR,59,Morena,-117.1932183,32.76988816,30767096.49
neighborhood,CaSanSAN,SanMON,32,Mountain View,-117.1065102,32.69952017,34646496.64
neighborhood,CaSanSAN,SanMTO,13,Mt Hope,-117.1101882,32.71247293,19851190.91
neighborhood,CaSanSAN,SanNES,96,Nestor,-117.0835815,32.56822153,41061032.22
neighborhood,CaSanSAN,SanNRM,31,Normal Heights,-117.1177521,32.75938435,15332379.64
neighborhood,CaSanSAN,SanNOR,4,North City,-117.2194327,32.9737016,132735180.8
neighborhood,CaSanSAN,SanNOA,106,North Clairemont,-117.1969049,32.83668781,78322724.38
neighborhood,CaSanSAN,SanNRT,9,North Park,-117.1288955,32.7450497,83152784.94
neighborhood,CaSanSAN,SanOKP,105,Oak Park,-117.0727434,32.73457214,60657698.03
neighborhood,CaSanSAN,SanOCN,68,Ocean Beach,-117.2466489,32.74828847,32786513.85
neighborhood,CaSanSAN,SanOEC,23,Ocean Crest,-117.020912,32.57816463,82175194.82
neighborhood,CaSanSAN,SanOOL,58,Old Town,-117.1955283,32.7546019,12638048.65
neighborhood,CaSanSAN,SanOTM,94,Otay Mesa,-116.9834859,32.56175582,323481858.7
neighborhood,CaSanSAN,SanTOM,112,Otay Mesa West,-117.0571841,32.57885537,93403201.96
neighborhood,CaSanSAN,SanPCF,42,Pacific Beach,-117.2378761,32.80315381,122554094.5
neighborhood,CaSanSAN,SanPAL,111,Palm City,-117.0802064,32.58525275,24213982.51
neighborhood,CaSanSAN,SanPAR,18,Paradise Hills,-117.0590953,32.67627044,53358827.8
neighborhood,CaSanSAN,SanPRK,74,Park West,-117.1641049,32.73260178,18223413.26
neighborhood,CaSanSAN,SanPET,88,Petco Park,-117.1554884,32.70692932,1796553.943
neighborhood,CaSanSAN,SanPON,95,Point Loma Heights,-117.2336109,32.74365225,53726011.25
neighborhood,CaSanSAN,SanQUL,36,Qualcomm,-117.1197377,32.78332169,7385735.47
neighborhood,CaSanSAN,SanRAN,22,Rancho Bernardo,-117.0770158,33.03254254,369717792.3
neighborhood,CaSanSAN,SanRAO,85,Rancho Encantada,-117.0136248,32.9289569,116283227.8
neighborhood,CaSanSAN,SanRNC,39,Rancho Penasquitos,-117.1249066,32.96323949,325587148.4
